Ticker,MCapM,MCapFinnhubM,SharesOutstandingM,MCapDivergenciaPct,MCapEstado,Pais,Industria,High52,Low52,regime_reporte,Nome,destino,motivo,faltas,Price,AvgVolN,RelVol,TendVol,RSI,SMA20_pct,Eco,Vol20d
CLVT,1374.323,1374.3155117291667,639.22,0.0005448697892318499,COERENTE,GB,Professional Services,4.77,1.66,10-Q,Clarivate Plc,PASSA_FASE0,,0,2.15,6732938.057471506,1.6263451912714022,1.080488211749806,46.96544008462271,-5.223716111968269,2.2965061336737493,109.52946990356652
BRSP,651.4,651.3902757633589,130.28,0.001492821099335906,COERENTE,US,Real Estate,6.165,4.92,10-Q,"BrightSpire Capital, Inc.",PASSA_FASE0,,0,5.0,1406868.2557737296,2.1475374944375205,1.1625244865317683,30.38775217104057,-6.305631031574988,1.269950523764959,26.06214502383603
NKLR,343.76699999999994,540.3494178620689,70.3,57.18478442144503,DIVERGENTE,IT,Electrical Equipment,21.905,3.73,10-Q,Terra Innovatum Global N.V. Ordinary shares,PASSA_FASE0,,0,4.89,340936.55252804764,1.2885069403253862,0.8540966242033982,46.6103658239577,-0.9620253164556836,1.5803025529799195,73.33788999239106
MBI,274.5127,274.5344781666667,50.93,0.007933391302739068,COERENTE,US,Insurance,8.26,4.72,10-Q,MBIA Inc.,PASSA_FASE0,,0,5.39,370265.4575829524,1.6095423732214733,0.9813799091962072,28.616677465339563,-13.524787421787266,1.2682855071723556,32.008382451434144
CRDL,132.52599999999998,195.962813,115.24,47.86744714244755,DIVERGENTE,CA,Pharmaceuticals,2.33,1.225,20-F,Cardiol Therapeutics Inc. Class A Common Shares,PASSA_FASE0,,0,1.15,536825.2204991747,1.7065311531342415,1.6182359242963988,50.02321537354128,1.715903060321966,3.607076788583983,64.9206099792977
XFOR,377.28,381.05,94.32,0.9992578456319068,COERENTE,US,Biotechnology,4.83,1.35,10-Q,"X4 Pharmaceuticals, Inc. Common Stock",PASSA_FASE0,,0,4.0,647361.0769088889,1.352590570888209,1.0029434136706357,51.33774313912214,1.3813204916994115,1.2926931341161056,77.3999870810337
JBLU,2127.9543999999996,2127.9482271666666,372.02,0.0002900829704333141,COERENTE,US,Airlines,6.5,3.87,10-Q,JetBlue Airways Corp,PASSA_FASE0,,0,5.72,29255208.092029706,3.0791096320177407,1.2089383517091323,53.84768300913353,2.2067363530777984,1.0,67.04827986820321
RIG,5526.378000000001,5527.278994238477,1116.44,0.016303521736604765,COERENTE,CH,Energy,7.66,2.72,10-Q,Transocean LTD.,PASSA_FASE0,,0,4.95,36527217.98452206,1.3966659846599463,1.1313309109137062,38.60887704830687,-3.920807453416131,1.184971709943028,39.60963024990829
DMAC,340.52160000000003,340.54271965060246,53.88,0.006202147118550272,COERENTE,US,Biotechnology,10.4195,4.0145,10-Q,DiaMedica Therapeutics Inc. Common Stock,PASSA_FASE0,,0,6.32,202433.70235023813,1.3986970598903683,1.075309267773188,37.60952944562349,-13.228530239582604,1.6900808313597837,48.41718605372159
ENGS,78.28125,54.11655697340426,31.25,30.86906893617021,DIVERGENTE,GB,Construction,12.48,0.57,20-F,Energys Group Limited Ordinary Shares,PASSA_FASE0,,0,2.505,666833.6156498413,1.5357731487351478,1.6883833874177423,48.61480672520829,-8.501506711715844,3.563269850569803,75.49903538091573
BTMD,76.6632,76.66586383928572,37.58,0.0034747300996063046,COERENTE,US,Pharmaceuticals,4.75,1.27,10-Q,Biote Corp. Class A Common Stock,PASSA_FASE0,,0,2.04,274651.7522423175,2.406622454146345,0.7671130315906928,41.25679614342616,-10.428100987925347,1.0,74.37228460783813
NG,2540.5362,2540.53997842268,438.78,0.00014872540214927454,COERENTE,CA,Metals & Mining,14.4,5.07,10-Q,NovaGold Resources Inc.,PASSA_FASE0,,0,5.79,4097789.951507857,1.2111734858663812,1.2464261607463962,42.36906545172719,-1.421639567549171,5.2474516937859965,66.51196465344411
EVLV,998.2785,998.2862472053572,179.87,0.0007760565170045197,COERENTE,US,Electrical Equipment,8.91,4.865,10-Q,"Evolv Technologies Holdings, Inc. Class A Common Stock",PASSA_FASE0,,0,5.55,2680861.393534715,1.277323135931704,0.7211954553295014,44.67272123700549,-4.417463187806758,1.3574634254466749,48.002121362985946
