Ticker,na_shortlist,A,B,C,B_rsi,B_macd,B_bounce,C_lateral,C_hl,C_coil,n
HDSN,True,True,False,True,False,False,False,True,True,True,2
RWT,True,True,False,True,False,False,False,True,True,False,2
AIFF,False,True,False,False,False,False,False,False,False,False,1
SNWV,False,True,False,False,False,False,False,False,False,False,1
ATLX,False,False,False,True,False,False,False,False,False,True,1
LXRX,False,False,False,True,False,False,False,False,True,True,1
NB,False,True,False,False,False,False,False,False,False,False,1
GANX,False,False,False,True,False,False,False,True,False,False,1
ORMP,False,True,False,True,False,False,False,True,True,True,2
MPT,False,False,False,True,False,False,False,True,True,False,1
IFRX,False,False,False,True,False,False,False,False,True,True,1
RPAY,False,False,True,True,False,True,False,True,True,True,2
ICL,False,False,False,True,False,False,False,True,True,True,1
CTKB,False,False,False,True,False,False,False,True,True,True,1
SJT,False,True,True,False,False,True,False,False,False,False,2
KRO,False,True,False,True,False,False,False,True,True,False,2
ARRY,False,True,False,True,False,False,False,False,False,True,2
BBBY,False,False,True,True,False,True,False,True,False,True,2
BMEA,False,False,False,True,False,False,False,True,True,True,1
WIMI,True,True,False,True,False,False,False,True,False,False,2
ADCT,False,False,False,True,False,False,False,False,True,True,1
AQN,False,True,False,True,False,False,False,True,True,False,2
NAGE,False,False,False,True,False,False,False,True,False,False,1
MYSE,False,False,False,True,False,False,False,False,True,True,1
ARI,False,True,False,False,False,False,False,False,False,False,1
NVNI,False,False,False,True,False,False,False,False,True,False,1
BDMD,False,False,False,True,False,False,False,False,True,True,1
WBX,False,True,False,False,False,False,False,False,False,False,1
EVH,False,True,False,False,False,False,False,False,False,False,1
LDI,False,True,True,True,True,False,False,True,False,True,3
CXDO,False,True,False,True,False,False,False,True,False,True,2
PRLD,False,True,True,True,False,True,False,True,False,False,3
WTI,False,False,True,True,False,False,True,True,True,False,2
ASPI,False,False,False,True,False,False,False,False,False,True,1
CHR,False,False,True,True,False,False,True,False,False,True,2
TLIH,False,False,False,True,False,False,False,False,True,True,1
TMCI,False,False,False,True,False,False,False,False,False,True,1
BDTX,False,True,False,True,False,False,False,False,True,True,2
KRMD,False,True,False,True,False,False,False,True,False,False,2
AVD,False,True,False,True,False,False,False,True,False,False,2
TRON,False,False,False,True,False,False,False,False,True,True,1
